DATE,SWAP_COUNT,TOTAL_TRADING_VOLUME_USD
2022-12-28 00:00:00.000,248,232933931.36
2022-12-29 00:00:00.000,266,215889087.02
2022-12-30 00:00:00.000,280,252100942.92
2022-12-31 00:00:00.000,188,66307349.07
2023-01-01 00:00:00.000,127,54529895.38
2023-01-02 00:00:00.000,134,46964109.58
2023-01-03 00:00:00.000,219,168429959.46
2023-01-04 00:00:00.000,222,146314926.52
2023-01-05 00:00:00.000,259,202820704.4
2023-01-06 00:00:00.000,264,230857098.87
2023-01-07 00:00:00.000,193,131573859.76
2023-01-08 00:00:00.000,170,94014333.99
2023-01-09 00:00:00.000,268,191059951.14
2023-01-10 00:00:00.000,237,178553307.13
2023-01-11 00:00:00.000,272,255396779.84
2023-01-12 00:00:00.000,314,244781047.36
2023-01-13 00:00:00.000,312,320534182.78
2023-01-14 00:00:00.000,283,228125033.63
2023-01-15 00:00:00.000,242,180951596.49
2023-01-16 00:00:00.000,290,73901653.13
2023-01-17 00:00:00.000,270,152107091.46
2023-01-18 00:00:00.000,349,248155040.37
2023-01-19 00:00:00.000,391,213800800.5
2023-01-20 00:00:00.000,297,185187552.27
2023-01-21 00:00:00.000,323,228083317.19
2023-01-22 00:00:00.000,270,125820064.73
2023-01-23 00:00:00.000,281,205086106.11
2023-01-24 00:00:00.000,321,280163127.15
2023-01-25 00:00:00.000,327,211511332.13
2023-01-26 00:00:00.000,261,94871435
2023-01-27 00:00:00.000,299,243281356.85
2023-01-28 00:00:00.000,245,107359951.97
2023-01-29 00:00:00.000,174,36576713.33
2023-01-30 00:00:00.000,264,108421199.47
2023-01-31 00:00:00.000,241,98426360.57
2023-02-01 00:00:00.000,308,94255811.83
2023-02-02 00:00:00.000,290,90870665.66
2023-02-03 00:00:00.000,272,78613340.49
2023-02-04 00:00:00.000,207,60532142.57
2023-02-05 00:00:00.000,272,135048501.56
2023-02-06 00:00:00.000,212,94860476.71
2023-02-07 00:00:00.000,299,165161992.75
2023-02-08 00:00:00.000,304,121296572.66
2023-02-09 00:00:00.000,348,110098376.49
2023-02-10 00:00:00.000,322,124239464.95
2023-02-11 00:00:00.000,273,75282474.89
2023-02-12 00:00:00.000,169,42670475.67
2023-02-13 00:00:00.000,852,709195425.57
2023-02-14 00:00:00.000,405,149129699.34
2023-02-15 00:00:00.000,300,83236491.41
2023-02-16 00:00:00.000,281,50340537.9
2023-02-17 00:00:00.000,282,63184574.6
2023-02-18 00:00:00.000,197,16318234.86
2023-02-19 00:00:00.000,183,24295849.36
2023-02-20 00:00:00.000,192,14195452.39
2023-02-21 00:00:00.000,203,32588264.86
2023-02-22 00:00:00.000,297,36654434.64
2023-02-23 00:00:00.000,245,29268983.27
2023-02-24 00:00:00.000,262,55793230.11
2023-02-25 00:00:00.000,175,26076292.38
2023-02-26 00:00:00.000,116,9535558.15
2023-02-27 00:00:00.000,237,39330838.78
2023-02-28 00:00:00.000,265,26360273.24
2023-03-01 00:00:00.000,300,59473412.94
2023-03-02 00:00:00.000,353,135149715.03
2023-03-03 00:00:00.000,306,105858730.17
2023-03-04 00:00:00.000,149,4873965.17
2023-03-05 00:00:00.000,144,20638665.93
2023-03-06 00:00:00.000,264,137648949.49
2023-03-07 00:00:00.000,414,269250327.24
2023-03-08 00:00:00.000,243,70762138.85
2023-03-09 00:00:00.000,296,50317387.56
2023-03-10 00:00:00.000,2217,966551118
2023-03-11 00:00:00.000,16076,4459319910.54
2023-03-12 00:00:00.000,6942,1510217209.49
2023-03-13 00:00:00.000,3330,1077811985.05
2023-03-14 00:00:00.000,1199,341031014.28
2023-03-15 00:00:00.000,830,314390038.99
2023-03-16 00:00:00.000,667,289640706
2023-03-17 00:00:00.000,730,290910041.26
2023-03-18 00:00:00.000,464,104764135.25
2023-03-19 00:00:00.000,347,82142535.1
2023-03-20 00:00:00.000,529,156535062.84
2023-03-21 00:00:00.000,466,86623539.33
2023-03-22 00:00:00.000,661,199098307.79
2023-03-23 00:00:00.000,395,87063712.8
2023-03-24 00:00:00.000,307,100955949.98
2023-03-25 00:00:00.000,212,63209232.41
2023-03-26 00:00:00.000,177,63836835.05
2023-03-27 00:00:00.000,288,100299342.41
2023-03-28 00:00:00.000,199,67001765.65
2023-03-29 00:00:00.000,219,98615981.54
2023-03-30 00:00:00.000,202,72188819.81
2023-03-31 00:00:00.000,227,95969918.5
2023-04-01 00:00:00.000,159,28194124.67
2023-04-02 00:00:00.000,174,34775017.04
2023-04-03 00:00:00.000,226,59836867.88
2023-04-04 00:00:00.000,220,47125234.22
2023-04-05 00:00:00.000,195,29809586.34
2023-04-06 00:00:00.000,199,46930659.4
2023-04-07 00:00:00.000,160,27441155.89
2023-04-08 00:00:00.000,139,58367169.05
2023-04-09 00:00:00.000,145,22018745.81
2023-04-10 00:00:00.000,171,37566701.61
2023-04-11 00:00:00.000,252,68409683.17
2023-04-12 00:00:00.000,293,60333327.68
2023-04-13 00:00:00.000,217,59600510.55
2023-04-14 00:00:00.000,262,76456995.62
2023-04-15 00:00:00.000,189,20959712.64
2023-04-16 00:00:00.000,112,14630348.42
2023-04-17 00:00:00.000,164,47955710.88
2023-04-18 00:00:00.000,152,37582328.74
2023-04-19 00:00:00.000,179,53568031.93
2023-04-20 00:00:00.000,190,58296714.34
2023-04-21 00:00:00.000,259,83619317.51
2023-04-22 00:00:00.000,96,41825412.64
2023-04-23 00:00:00.000,91,28522638.64
2023-04-24 00:00:00.000,134,69606776.41
2023-04-25 00:00:00.000,169,48910635.48
2023-04-26 00:00:00.000,186,70708045.99
2023-04-27 00:00:00.000,186,92667055.46
2023-04-28 00:00:00.000,192,47855009.25
2023-04-29 00:00:00.000,125,32076827.59
2023-04-30 00:00:00.000,97,24695947.31
2023-05-01 00:00:00.000,155,71029307.96
2023-05-02 00:00:00.000,152,60833667.66
2023-05-03 00:00:00.000,159,47414296.99
2023-05-04 00:00:00.000,145,31818661.38
2023-05-05 00:00:00.000,120,53617419.14
2023-05-06 00:00:00.000,127,59698223.87
2023-05-07 00:00:00.000,91,20759266.46
2023-05-08 00:00:00.000,148,75701651.33
2023-05-09 00:00:00.000,116,71338678.6
2023-05-10 00:00:00.000,151,43281469.5
2023-05-11 00:00:00.000,167,74034171.44
2023-05-12 00:00:00.000,172,59864899.78
2023-05-13 00:00:00.000,114,16110041.69
2023-05-14 00:00:00.000,70,11376912.27
2023-05-15 00:00:00.000,116,53306486.79
2023-05-16 00:00:00.000,168,44579680.77
2023-05-17 00:00:00.000,157,55247174.63
2023-05-18 00:00:00.000,142,49462398.09
2023-05-19 00:00:00.000,140,39865625.27
2023-05-20 00:00:00.000,136,9214826.04
2023-05-21 00:00:00.000,81,17401573.3
2023-05-22 00:00:00.000,150,42290236.8
2023-05-23 00:00:00.000,143,47236729.08
2023-05-24 00:00:00.000,161,73270597.46
2023-05-25 00:00:00.000,154,79679490.55
2023-05-26 00:00:00.000,155,37158462.57
2023-05-27 00:00:00.000,96,11412685.24
2023-05-28 00:00:00.000,98,20742111.78
2023-05-29 00:00:00.000,115,39455939.48
2023-05-30 00:00:00.000,121,35254281.62
2023-05-31 00:00:00.000,162,32624270.38
2023-06-01 00:00:00.000,156,50860882.42
2023-06-02 00:00:00.000,186,56684520.74
2023-06-03 00:00:00.000,117,10104892.97
2023-06-04 00:00:00.000,91,10664223.55
2023-06-05 00:00:00.000,160,49792988.59
2023-06-06 00:00:00.000,163,76766705.41
2023-06-07 00:00:00.000,169,55063356.54
2023-06-08 00:00:00.000,158,41727933.45
2023-06-09 00:00:00.000,158,78652173.43
2023-06-10 00:00:00.000,209,80884125.69
2023-06-11 00:00:00.000,122,31540951.77
2023-06-12 00:00:00.000,166,72564409.18
2023-06-13 00:00:00.000,141,57912269.42
2023-06-14 00:00:00.000,201,78063578.89
2023-06-15 00:00:00.000,1641,757639145.34
2023-06-16 00:00:00.000,309,198451842.41
2023-06-17 00:00:00.000,154,54921208.52
2023-06-18 00:00:00.000,100,21302926.36
2023-06-19 00:00:00.000,165,69325375.56
2023-06-20 00:00:00.000,202,131484488.62
2023-06-21 00:00:00.000,177,108819195.08
2023-06-22 00:00:00.000,209,86195402.98
2023-06-23 00:00:00.000,194,69223029.61
2023-06-24 00:00:00.000,106,18820899.72
2023-06-25 00:00:00.000,76,14981689.34
2023-06-26 00:00:00.000,162,69822371.15
2023-06-27 00:00:00.000,168,52247970.82
2023-06-28 00:00:00.000,140,41797039.63
2023-06-29 00:00:00.000,128,59028627.12
2023-06-30 00:00:00.000,238,96744543.91
2023-07-01 00:00:00.000,121,28893254.38
2023-07-02 00:00:00.000,82,16426833.13
2023-07-03 00:00:00.000,148,48282050.68
2023-07-04 00:00:00.000,118,37538229.67
2023-07-05 00:00:00.000,131,57720696.13
2023-07-06 00:00:00.000,154,52445041.96
2023-07-07 00:00:00.000,165,45353842.21
2023-07-08 00:00:00.000,95,2159331.54
2023-07-09 00:00:00.000,86,8768888.36
2023-07-10 00:00:00.000,125,60095613.16
2023-07-11 00:00:00.000,123,48674088.2
2023-07-12 00:00:00.000,141,58135999.03
2023-07-13 00:00:00.000,202,77887169.95
2023-07-14 00:00:00.000,191,54296731.96
2023-07-15 00:00:00.000,108,14884973.36
2023-07-16 00:00:00.000,100,7902753.29
2023-07-17 00:00:00.000,138,33518564.49
2023-07-18 00:00:00.000,133,40362866.79
2023-07-19 00:00:00.000,145,34344762.65
2023-07-20 00:00:00.000,115,36752759.34
2023-07-21 00:00:00.000,129,36464228.91
2023-07-22 00:00:00.000,109,11220742.45
2023-07-23 00:00:00.000,55,5227364.15
2023-07-24 00:00:00.000,115,43289493.4
2023-07-25 00:00:00.000,120,49673543.58
2023-07-26 00:00:00.000,120,68762889.53
2023-07-27 00:00:00.000,130,49619407.68
2023-07-28 00:00:00.000,127,65271629.02
2023-07-29 00:00:00.000,84,7694101.71
2023-07-30 00:00:00.000,101,10048343.02
2023-07-31 00:00:00.000,233,79066179.49
2023-08-01 00:00:00.000,218,121348628.59
2023-08-02 00:00:00.000,182,62929328.93
2023-08-03 00:00:00.000,193,62679325.71
2023-08-04 00:00:00.000,282,100620532.61
2023-08-05 00:00:00.000,205,46431727.48
2023-08-06 00:00:00.000,160,39524994.16
2023-08-07 00:00:00.000,318,187061962.06
2023-08-08 00:00:00.000,224,118751244.4
2023-08-09 00:00:00.000,190,66752466.53
2023-08-10 00:00:00.000,169,76729736.25
2023-08-11 00:00:00.000,194,74252903.18
2023-08-12 00:00:00.000,112,23463136.57
2023-08-13 00:00:00.000,116,31477154.55
2023-08-14 00:00:00.000,237,121956806.16
2023-08-15 00:00:00.000,231,83198539.39
2023-08-16 00:00:00.000,166,58126430.61
2023-08-17 00:00:00.000,333,138437874.96
2023-08-18 00:00:00.000,288,156459519.98
2023-08-19 00:00:00.000,119,45147291.98
2023-08-20 00:00:00.000,80,24194083.89
2023-08-21 00:00:00.000,129,71002140.06
2023-08-22 00:00:00.000,192,75449397.99
2023-08-23 00:00:00.000,149,45725174.93
2023-08-24 00:00:00.000,154,52430054.69
2023-08-25 00:00:00.000,127,30843892.11
2023-08-26 00:00:00.000,78,12069746.91
2023-08-27 00:00:00.000,82,8375062.25
2023-08-28 00:00:00.000,142,34673423.91
2023-08-29 00:00:00.000,163,84776471.35
2023-08-30 00:00:00.000,138,43114003.55
2023-08-31 00:00:00.000,134,31953537.23
2023-09-01 00:00:00.000,168,67951702.01
2023-09-02 00:00:00.000,113,35451729.26
2023-09-03 00:00:00.000,74,4802466.96
2023-09-04 00:00:00.000,102,15321619.46
2023-09-05 00:00:00.000,128,36120398.2
2023-09-06 00:00:00.000,139,81778752.89
2023-09-07 00:00:00.000,148,33964853.86
2023-09-08 00:00:00.000,146,29179729.1
2023-09-09 00:00:00.000,76,4716213.45
2023-09-10 00:00:00.000,96,11044919.4
2023-09-11 00:00:00.000,168,50121745.56
2023-09-12 00:00:00.000,194,122885747.27
2023-09-13 00:00:00.000,155,42099416.8
2023-09-14 00:00:00.000,119,30068409.13
2023-09-15 00:00:00.000,178,63635856.63
2023-09-16 00:00:00.000,137,25901180.74
2023-09-17 00:00:00.000,100,14315922.75
2023-09-18 00:00:00.000,149,41745025.45
2023-09-19 00:00:00.000,163,47242014.7
2023-09-20 00:00:00.000,133,39575615.26
2023-09-21 00:00:00.000,130,37887690.36
2023-09-22 00:00:00.000,139,35760066.8
2023-09-23 00:00:00.000,110,24841734.92
2023-09-24 00:00:00.000,82,5517328.65
2023-09-25 00:00:00.000,167,42909000.65
2023-09-26 00:00:00.000,138,38040910.26
2023-09-27 00:00:00.000,170,57100521.4
2023-09-28 00:00:00.000,224,73449016.96
2023-09-29 00:00:00.000,173,25340284.64
2023-09-30 00:00:00.000,147,25107837.69
2023-10-01 00:00:00.000,126,16120923.37
2023-10-02 00:00:00.000,207,45781209.15
2023-10-03 00:00:00.000,167,23698029.46
2023-10-04 00:00:00.000,135,15814754.79
2023-10-05 00:00:00.000,152,31133346.8
2023-10-06 00:00:00.000,178,23566588.81
2023-10-07 00:00:00.000,120,10576965.18
2023-10-08 00:00:00.000,118,32840356.26
2023-10-09 00:00:00.000,181,21528777.43
2023-10-10 00:00:00.000,174,78316893.97
2023-10-11 00:00:00.000,192,53960560.81
2023-10-12 00:00:00.000,157,51020532.49
2023-10-13 00:00:00.000,168,86342571.15
2023-10-14 00:00:00.000,108,19206206.64
2023-10-15 00:00:00.000,91,10262654.19
2023-10-16 00:00:00.000,235,122039254.31
2023-10-17 00:00:00.000,212,51865980.14
2023-10-18 00:00:00.000,190,36405737.12
2023-10-19 00:00:00.000,174,36612311.31
2023-10-20 00:00:00.000,208,58046352.39
2023-10-21 00:00:00.000,125,11462104.31
2023-10-22 00:00:00.000,114,17051208.58
2023-10-23 00:00:00.000,218,83758211.62
2023-10-24 00:00:00.000,203,74127373.73
2023-10-25 00:00:00.000,155,29532767.53
2023-10-26 00:00:00.000,193,51528494.26
2023-10-27 00:00:00.000,180,42397174.07
2023-10-28 00:00:00.000,153,22196251.96
2023-10-29 00:00:00.000,100,16100800.79
2023-10-30 00:00:00.000,175,45787880.72
2023-10-31 00:00:00.000,155,34308811.53
2023-11-01 00:00:00.000,150,35197835.97
2023-11-02 00:00:00.000,234,64267889.34
2023-11-03 00:00:00.000,180,59325790.99
2023-11-04 00:00:00.000,142,13056687.1
2023-11-05 00:00:00.000,142,35991531.4
2023-11-06 00:00:00.000,153,45006735.8
2023-11-07 00:00:00.000,136,37412847.54
2023-11-08 00:00:00.000,140,41408659.45
2023-11-09 00:00:00.000,161,42056112.69
2023-11-10 00:00:00.000,155,43556793.13
2023-11-11 00:00:00.000,119,18315863.63
2023-11-12 00:00:00.000,122,16162358.76
